fid,3D_Easting,3D_Northing,fid_2,theme,2D_Easting,2D_Northing,Distance_Easting,Distance_Northing,Distance
186,349606.859357398,120355.564836883,319593,Roads Tracks And Paths,349604.36,120354.21,2.49935739813372,1.35483688300883,2.84295099907945
187,349401.183618377,120159.508751081,319555,Roads Tracks And Paths,349402.96,120160.21,-1.77638162329094,-0.701248919402133,1.90978577817734
188,349648.049390963,120392.045781571,368303,Roads Tracks And Paths,349648.4,120393.51,-0.350609036977403,-1.46421842895506,1.5056102764334
191,349617.781434156,120398.15229488,320540,Roads Tracks And Paths,349618.61,120397.6,-0.828565843519755,0.552294879598776,0.995766534423923
192,349395.584861295,120168.565352362,319549,Roads Tracks And Paths,349395.37,120169.3,0.214861294836737,-0.734647637800663,0.765423103743945
193,349684.109804205,120426.740140153,368290,Roads Tracks And Paths,349685.67,120428.3,-1.56019579491112,-1.55985984693689,2.20621251481908
195,349397.930928197,120132.290178841,901715,Roads Tracks And Paths,349395.59,120133.92,2.34092819696525,-1.62982115945488,2.85241333525733
198,349718.539363127,120454.323330647,321847,Roads Tracks And Paths,349718.915,120454.964,-0.37563687277725,-0.640669353218982,0.742671044503487
200,349634.754098521,120382.110581983,319586,Roads Tracks And Paths,349634.76,120382.21,-0.0059014794533141,-0.0994180173001951,0.0995930199544113
201,349378.717429446,120152.257866075,902459,Roads Tracks And Paths,349378.31,120151.46,0.40742944588419,0.79786607461574,0.895873331669287
202,349687.012046795,120424.495583238,368290,Roads Tracks And Paths,349685.67,120428.3,1.34204679477261,-3.80441676154442,4.03418845554835
204,349410.795622844,120140.895456309,301366,Roads Tracks And Paths,349413.06,120141.21,-2.26437715574866,-0.314543691391009,2.28611934011991
205,349626.12756676,120387.980389853,321236,Roads Tracks And Paths,349625.91,120388.9,0.217566759616602,-0.919610147422645,0.944996358793391
206,349490.614539988,120222.278008696,320466,Roads Tracks And Paths,349488.76,120219.81,1.85453998798039,2.46800869633444,3.0871322440415
207,349701.324165193,120459.37397388,320607,Roads Tracks And Paths,349703.01,120461.9,-1.68583480681991,-2.52602612043847,3.0369140516358
209,349603.5611853,120371.282023951,321214,Roads Tracks And Paths,349602.35,120371.47,1.21118529967498,-0.187976049404824,1.22568545120623
210,349391.820890552,120141.481840665,301243,Roads Tracks And Paths,349391.84,120141.27,-0.0191094483598135,0.211840665477212,0.212700819383575
211,349651.960944005,120412.618949388,320614,Roads Tracks And Paths,349651.91,120414.34,0.0509440049063414,-1.7210506121919,1.72180443179881
213,349330.959539904,120091.738998431,901843,Roads Tracks And Paths,349330.12,120090.39,0.839539903507102,1.34899843116,1.58890654755176
214,349615.160366655,120378.705450209,321239,Roads Tracks And Paths,349617.01,120380.2,-1.84963334462373,-1.49454979055736,2.37798708701267
215,349479.47016191,120224.188895026,319566,Roads Tracks And Paths,349476.46,120223.11,3.01016190968221,1.07889502578473,3.19766933862222
216,349688.031579765,120446.955026901,320612,Roads Tracks And Paths,349686.57,120445.67,1.46157976496033,1.28502690144524,1.946152498336
218,345556.652331731,116889.20501627,679185,Roads Tracks And Paths,345560.42,116889.3,-3.76766826893436,-0.0949837302177912,3.76886535892978
222,343678.153442506,116108.058931629,689930,Roads Tracks And Paths,343676.4,116109.1,1.75344250554917,-1.04106837068684,2.03921160567292
223,344139.546681582,116385.428971628,563579,Roads Tracks And Paths,344137.97,116385.38,1.57668158248998,0.0489716283627786,1.57744192696518
229,345660.856831316,117880.138778997,739246,Roads Tracks And Paths,345661.98,117880.23,-1.12316868407652,-0.0912210034584859,1.1268669683517
230,346073.656793731,117437.62846905,593683,Roads Tracks And Paths,346073.73,117439.35,-0.0732062687166035,-1.72153095027898,1.72308675653544
231,345950.621401791,116787.351503103,678584,Roads Tracks And Paths,345952.3,116786.7,-1.67859820876038,0.65150310289755,1.80059663432393
232,346099.271557419,117266.509578698,527880,Roads Tracks And Paths,346099.78,117269.03,-0.508442581514828,-2.52042130168411,2.5711937687931
233,346564.117546717,117705.745158183,732141,Roads Tracks And Paths,346565.39,117706.13,-1.27245328261051,-0.384841817198321,1.329376011778
234,348077.884439654,119009.567327713,916911,Roads Tracks And Paths,348078.63,119010.43,-0.745560345763806,-0.862672286719317,1.14020336056731
236,345732.558089206,117794.024277932,638753,Roads Tracks And Paths,345730.61,117794.85,1.94808920565993,-0.825722068169853,2.11586116913928
237,345802.307568801,116986.962225308,593646,Roads Tracks And Paths,345803.28,116986.95,-0.97243119898485,0.0122253082081443,0.972508043627351
238,346097.529479538,117319.649059973,679621,Roads Tracks And Paths,346097.46,117318.69,0.0694795381859876,0.959059973072726,0.961573417985749
239,347099.444152784,118215.561337553,733334,Roads Tracks And Paths,347100.3,118212.8,-0.855847215745598,2.76133755252522,2.89092710660187
240,348004.499716962,118916.993325289,911848,Roads Tracks And Paths,348004.774,118917.53,-0.274283037579153,-0.536674711212981,0.602703020034896
241,345746.406456628,117060.242083385,678663,Roads Tracks And Paths,345746.87,117060.39,-0.463543371704873,-0.147916614761925,0.486571456596202
244,345399.642416695,116836.519600175,593537,Roads Tracks And Paths,345398.41,116835.86,1.23241669463459,0.659600175466039,1.39782806549621
245,346307.734338714,117468.400174276,679000,Roads Tracks And Paths,346306.86,117465.92,0.87433871376561,2.48017427576997,2.62977805614474
246,347156.757980383,118188.251724274,833320,Roads Tracks And Paths,347157.2,118188.6,-0.442019617301412,-0.348275726253632,0.562740902704594
247,347991.541472959,118991.71031888,917768,Roads Tracks And Paths,347993.59,118992.94,-2.04852704127552,-1.22968111973023,2.38926321175756
249,347144.166600665,118145.93774784,833450,Roads Tracks And Paths,347145.38,118145.37,-1.21339933521813,0.567747840163065,1.33965501406803
250,348909.753593368,119753.105616465,484859,Roads Tracks And Paths,348908.13,119753.8,1.62359336845111,-0.694383534733788,1.76584934787422
251,343705.964914877,116206.845610973,545697,Roads Tracks And Paths,343706.79,116207.44,-0.825085123069584,-0.594389026548015,1.01688926397688
252,344036.283734352,116357.850886266,561599,Roads Tracks And Paths,344037.37,116358.82,-1.08626564801671,-0.969113734172424,1.45573159882678
254,347222.920514251,118251.404829323,602865,Roads Tracks And Paths,347221.1,118249,1.82051425141981,2.40482932308805,3.01620228313798
