fid,OGC_FID,3D_Easting,3D_Northing,theme,2D_Easting,2D_Northing,Distance_Easting,Distance_Northing,Distance
25787,1220,300763.0461,129574.2792,Buildings,300760.313,129573.002,2.73309037,1.27718107,3.016782136
25847,1158,301660.7697,129924.6468,Buildings,301658.04,129924.68,2.729706171,-0.033194001,2.729907988
25952,1161,302314.6826,129767.3353,Buildings,302312.45,129767.14,2.232602082,0.195257865,2.241124202
25963,1227,302323.2551,129715.5867,Buildings,302321.32,129717.05,1.935076709,-1.463284812,2.426051177
25969,1201,302357.2638,129741.8783,Buildings,302354.49,129740.75,2.773829102,1.128311043,2.994530631
25986,1235,300999.3496,129840.5112,Buildings,300998.182,129838.528,1.167596075,1.983180576,2.301366071
25999,1209,301042.4955,129832.2963,Buildings,301039.71,129831.22,2.785484976,1.07634013,2.986207399
26005,1242,302379.4008,129730.3335,Buildings,302376.31,129729.92,3.090756519,0.413509307,3.118295336
26011,1176,302398.3998,129724.7939,Buildings,302396.44,129723.86,1.959773815,0.933930308,2.170930497
26012,1242,302379.4008,129730.3335,Buildings,302376.31,129729.92,3.090756519,0.413509307,3.118295336
26705,47,302904.3945,141165.1917,Buildings,302901.086,141164.465,3.308462073,0.726748922,3.38734192
26720,47,302904.3945,141165.1917,Buildings,302901.086,141164.465,3.308462073,0.726748922,3.38734192
26943,49,302210.5076,143008.2783,Buildings,302208.12,143006.36,2.387619042,1.918306074,3.062780254
28552,533,300663.3947,134308.8151,Buildings,300660.3,134307.55,3.094702854,1.265132645,3.34331368
28656,575,300620.6837,134310.8724,Buildings,300620.23,134309.52,0.453723099,1.352417467,1.426498389
28665,575,300620.6837,134310.8724,Buildings,300620.23,134309.52,0.453723099,1.352417467,1.426498389
29784,759,303271.1013,132666.0043,Buildings,303269.024,132665.072,2.0773441,0.932331825,2.276971924
29785,754,303271.1003,132679.2023,Buildings,303269.293,132678.83,1.807260808,0.372302269,1.84521018
29790,759,303271.1013,132666.0043,Buildings,303269.024,132665.072,2.0773441,0.932331825,2.276971924
29794,766,303116.8524,132694.9566,Buildings,303114.73,132694.8,2.122386448,0.156591814,2.128155359
29795,760,303111.6163,132696.627,Buildings,303109.219,132696.167,2.397323009,0.459986809,2.441054173
29806,757,303092.7163,132688.5024,Buildings,303090.262,132687.812,2.45426977,0.690395665,2.549526677
29810,751,303106.7831,132677.8135,Buildings,303107.576,132675.956,-0.792946715,1.857530112,2.019698643
29816,747,303104.2932,132740.1026,Buildings,303102.95,132739.51,1.343246902,0.592649702,1.468177751
30027,960,300392.71,125261.2712,Buildings,300389.89,125261.34,2.82002995,-0.068769243,2.820868328
30425,509,301853.4386,134936.4251,Buildings,301851.98,134935.2,1.458631125,1.225050174,1.904823532
31163,763,303232.2824,132677.5316,Buildings,303232.059,132676.827,0.223408523,0.704621229,0.739190399
31165,748,303231.9734,132665.4979,Buildings,303229.949,132664.637,2.024430541,0.860914618,2.199884769
31241,6,301623.7109,141567.2962,Buildings,301621.47,141565.96,2.240854242,1.336248154,2.609020288
32663,589,303214.6836,136506.9576,Buildings,303211.51,136506.07,3.173608239,0.887641986,3.295405521
32678,499,303252.3488,136466.4076,Buildings,303249.24,136466.1,3.108800428,0.307609373,3.123982014
32743,523,303271.3344,136622.3642,Buildings,303273.458,136620.888,-2.123557273,1.476208838,2.586249799
32911,928,303558.8593,125533.5797,Buildings,303556.57,125531.65,2.289329225,1.929673524,2.994105578
33002,21,303242.5869,141015.4442,Buildings,303241.662,141014.67,0.924872088,0.774201077,1.206140824
33106,1192,303323.4148,129162.5074,Buildings,303321.389,129161.776,2.025797049,0.731358241,2.153773098
33107,1218,303322.5787,129144.6319,Buildings,303320.271,129143.32,2.307699603,1.311944338,2.654557478
33108,1167,303347.1034,129143.1228,Buildings,303344.718,129141.838,2.385422193,1.284835502,2.709435606
33109,1233,303348.3421,129161.0907,Buildings,303345.837,129160.294,2.505115909,0.796652156,2.628737411
33110,1192,303323.4148,129162.5074,Buildings,303321.389,129161.776,2.025797049,0.731358241,2.153773098
33158,894,303614.3081,125520.8487,Buildings,303611.87,125519.651,2.438130616,1.197652772,2.716404436
33241,928,303558.8593,125533.5797,Buildings,303556.57,125531.65,2.289329225,1.929673524,2.994105578
33294,898,303647.8769,125587.0797,Buildings,303645.413,125585.832,2.463927322,1.247680697,2.761819142
33295,865,303634.625,125591.4501,Buildings,303632.373,125590.308,2.251966235,1.142053692,2.525002686
33299,932,303638.7406,125560.9745,Buildings,303636.48,125559.808,2.260553244,1.166495652,2.54377929
33300,898,303647.8769,125587.0797,Buildings,303645.413,125585.832,2.463927322,1.247680697,2.761819142
33354,1223,304366.2591,127042.8365,Buildings,304363.982,127042.346,2.277125888,0.490488631,2.329352143
33395,879,303627.6476,125559.6563,Buildings,303625.86,125558.25,1.78756701,1.406261802,2.274415984
33396,967,303619.0929,125562.4012,Buildings,303616.8,125561.53,2.2929424,0.871177709,2.452862706
33400,879,303627.6476,125559.6563,Buildings,303625.86,125558.25,1.78756701,1.406261802,2.274415984
33723,959,304177.711,125216.6665,Buildings,304176.672,125215.59,1.038967662,1.07648143,1.496083578
33760,872,304235.0707,125243.0141,Buildings,304234.36,125240.86,0.710725868,2.154129839,2.268348876
33774,885,304344.0908,125211.4515,Buildings,304341.266,125210.941,2.824789704,0.510476694,2.870544082
34405,1185,306269.1146,127684.4945,Buildings,306267.63,127684.33,1.484613612,0.164460829,1.493695063
34711,1128,305812.6071,134209.0462,Buildings,305808.303,134209.43,4.304102782,-0.383825416,4.321183022
34712,1076,305774.5006,134227.6237,Buildings,305770.303,134226.13,4.197568031,1.49374845,4.455430597
34715,1018,305760.3654,134198.4968,Buildings,305757.98,134198.03,2.385363787,0.466784934,2.430606626
